suburb,rooms,type,price,method,maintenance_score,seller_g,bedroom2,bathroom,car,building_area,council_area,region_name,size_class
Abbotsford,3,h,927000.0,S,2,Biggin,1.0,1.0,0.0,48.0,Yarra City Council,Northern Metropolitan,tiny
Airport West,3,t,840000.0,PI,5,Nelson,3.0,2.0,1.0,225.0,Moonee Valley City Council,Western Metropolitan,medium
Airport West,3,h,730000.0,VB,2,Nelson,3.0,2.0,1.0,145.0,Moonee Valley City Council,Western Metropolitan,small
Airport West,3,h,770000.0,SP,10,Nelson,3.0,2.0,1.0,145.0,Moonee Valley City Council,Western Metropolitan,small
Airport West,3,h,505615.0,S,2,Brad,3.0,1.0,1.0,114.0,Moonee Valley City Council,Western Metropolitan,small
Airport West,2,h,603000.0,S,5,Nelson,2.0,1.0,1.0,84.0,Moonee Valley City Council,Western Metropolitan,tiny
Airport West,3,t,700000.0,S,10,Brad,3.0,2.0,2.0,134.0,Moonee Valley City Council,Western Metropolitan,small
Airport West,3,h,600000.0,S,10,Maddison,2.0,1.0,1.0,116.0,Moonee Valley City Council,Western Metropolitan,small
Airport West,2,u,500000.0,VB,9,Barry,2.0,1.0,1.0,86.0,Moonee Valley City Council,Western Metropolitan,tiny
Airport West,2,t,420000.0,VB,10,Barry,1.0,2.0,0.0,254.0,Moonee Valley City Council,Western Metropolitan,medium
Airport West,3,t,500000.0,VB,10,Nelson,1.0,2.0,1.0,486.0,Moonee Valley City Council,Western Metropolitan,extra-large
Airport West,5,h,1035000.0,S,1,Airport,1.0,1.0,1.0,528.0,Moonee Valley City Council,Western Metropolitan,extra-large
Airport West,4,h,960000.0,S,2,Barry,1.0,2.0,1.0,433.0,Moonee Valley City Council,Western Metropolitan,extra-large
Airport West,4,h,960000.0,S,6,Nelson,1.0,1.0,1.0,75.0,Moonee Valley City Council,Western Metropolitan,tiny
Airport West,3,h,720000.0,S,3,Barry,2.0,1.0,1.0,308.0,Moonee Valley City Council,Western Metropolitan,large
Airport West,4,h,785000.0,S,10,Considine,3.0,1.0,2.0,127.0,Moonee Valley City Council,Western Metropolitan,small
Airport West,6,h,725000.0,SP,5,Barry,6.0,3.0,2.0,186.0,Moonee Valley City Council,Western Metropolitan,medium
Airport West,2,t,450000.0,S,8,Barry,2.0,1.0,1.0,90.0,Moonee Valley City Council,Western Metropolitan,tiny
Airport West,2,u,515000.0,S,7,Barry,2.0,1.0,1.0,73.0,Moonee Valley City Council,Western Metropolitan,tiny
Airport West,3,h,680000.0,VB,9,Nelson,2.0,2.0,1.0,598.0,Moonee Valley City Council,Western Metropolitan,extra-large
Airport West,2,u,530000.0,S,6,Nelson,2.0,1.0,1.0,94.0,Moonee Valley City Council,Western Metropolitan,tiny
Airport West,3,h,895000.0,PI,2,Rendina,3.0,1.0,6.0,133.0,Moonee Valley City Council,Western Metropolitan,small
Airport West,3,u,600000.0,VB,8,Nelson,1.0,1.0,1.0,519.0,Moonee Valley City Council,Western Metropolitan,extra-large
Airport West,3,h,805000.0,S,5,Nelson,3.0,1.0,1.0,105.0,Moonee Valley City Council,Western Metropolitan,tiny
Airport West,3,t,760000.0,PI,2,Barry,2.0,1.0,0.0,332.0,Moonee Valley City Council,Western Metropolitan,large
Airport West,3,u,752000.0,S,10,Nelson,3.0,1.0,1.0,130.0,Moonee Valley City Council,Western Metropolitan,small
Airport West,3,u,580000.0,VB,8,Nelson,2.0,2.0,0.0,56.0,Moonee Valley City Council,Western Metropolitan,tiny
Airport West,3,h,725000.0,PI,7,Ray,1.0,2.0,0.0,436.0,Moonee Valley City Council,Western Metropolitan,extra-large
Airport West,4,h,758000.0,S,2,Jellis,2.0,1.0,1.0,203.0,Moonee Valley City Council,Western Metropolitan,medium
Airport West,2,u,440000.0,S,3,Barry,2.0,1.0,1.0,123.0,Moonee Valley City Council,Western Metropolitan,small
Airport West,3,h,970000.0,S,8,Barry,1.0,1.0,1.0,133.0,Moonee Valley City Council,Western Metropolitan,small
Airport West,5,h,755000.0,PI,4,Propertyau,3.0,2.0,2.0,591.0,Moonee Valley City Council,Western Metropolitan,extra-large
Airport West,4,h,985000.0,S,4,Barry,1.0,2.0,1.0,89.0,Moonee Valley City Council,Western Metropolitan,tiny
Airport West,3,t,700000.0,PI,8,Brad,3.0,2.0,2.0,133.0,Moonee Valley City Council,Western Metropolitan,small
Airport West,2,u,509500.0,SP,8,Nelson,2.0,1.0,0.0,201.0,Moonee Valley City Council,Western Metropolitan,medium
Airport West,3,h,830000.0,S,5,Barry,3.0,1.0,2.0,113.0,Moonee Valley City Council,Western Metropolitan,small
Airport West,2,u,462500.0,S,1,Barry,2.0,1.0,1.0,314.0,Moonee Valley City Council,Western Metropolitan,large
Airport West,3,h,670000.0,SP,9,Barry,3.0,2.0,2.0,473.0,Moonee Valley City Council,Western Metropolitan,extra-large
Airport West,2,h,675000.0,S,1,Barry,2.0,1.0,1.0,100.0,Moonee Valley City Council,Western Metropolitan,tiny
Airport West,3,h,1042000.0,S,8,Nelson,3.0,2.0,5.0,174.0,Moonee Valley City Council,Western Metropolitan,medium
Airport West,3,h,910000.0,S,10,McDonald,3.0,1.0,1.0,254.0,Moonee Valley City Council,Western Metropolitan,medium
Airport West,4,h,773000.0,S,9,Brad,5.0,3.0,4.0,309.0,Moonee Valley City Council,Western Metropolitan,large
Airport West,3,h,715000.0,S,0,Barry,1.0,1.0,0.0,175.0,Moonee Valley City Council,Western Metropolitan,medium
Airport West,3,h,810000.0,PI,8,Barry,3.0,3.0,2.0,192.0,Moonee Valley City Council,Western Metropolitan,medium
Airport West,3,h,715000.0,S,10,Rendina,3.0,2.0,2.0,126.0,Moonee Valley City Council,Western Metropolitan,small
Airport West,3,h,790000.0,S,7,Nelson,3.0,1.0,3.0,336.0,Moonee Valley City Council,Western Metropolitan,large
Airport West,2,t,460000.0,VB,3,Nelson,1.0,1.0,1.0,66.0,Moonee Valley City Council,Western Metropolitan,tiny
Airport West,3,t,540000.0,SP,3,Nelson,2.0,2.0,1.0,101.0,Moonee Valley City Council,Western Metropolitan,tiny
Airport West,3,t,825000.0,SP,0,Barry,3.0,2.0,1.0,102.0,Moonee Valley City Council,Western Metropolitan,tiny
Airport West,3,h,685000.0,S,1,Barry,3.0,1.0,1.0,113.0,Moonee Valley City Council,Western Metropolitan,small
Airport West,3,u,445000.0,S,5,Brad,2.0,1.0,0.0,391.0,Moonee Valley City Council,Western Metropolitan,large
Airport West,3,h,805000.0,S,2,Barry,3.0,1.0,1.0,352.0,Moonee Valley City Council,Western Metropolitan,large
Airport West,2,u,510000.0,S,3,Nelson,2.0,1.0,1.0,76.0,Moonee Valley City Council,Western Metropolitan,tiny
Airport West,3,h,612000.0,S,10,Nelson,3.0,2.0,1.0,559.0,Moonee Valley City Council,Western Metropolitan,extra-large
Airport West,3,h,662000.0,S,2,Brad,3.0,1.0,2.0,422.0,Moonee Valley City Council,Western Metropolitan,extra-large
Airport West,4,h,978000.0,S,8,Nelson,4.0,3.0,2.0,140.0,Moonee Valley City Council,Western Metropolitan,small
Airport West,3,u,277945.0,VB,3,Barry,2.0,1.0,0.0,77.0,Moonee Valley City Council,Western Metropolitan,tiny
Airport West,3,h,720000.0,PI,6,Nelson,3.0,1.0,1.0,319.0,Moonee Valley City Council,Western Metropolitan,large
Airport West,2,u,474000.0,PI,7,Barry,2.0,2.0,0.0,437.0,Moonee Valley City Council,Western Metropolitan,extra-large
Airport West,2,t,490000.0,SP,1,Frank,1.0,1.0,1.0,555.0,Moonee Valley City Council,Western Metropolitan,extra-large
Airport West,3,h,405000.0,S,1,Ray,2.0,1.0,0.0,158.0,Moonee Valley City Council,Western Metropolitan,small
Airport West,3,t,715000.0,S,1,Barry,2.0,2.0,0.0,291.0,Moonee Valley City Council,Western Metropolitan,large
Airport West,3,u,671500.0,S,1,McDonald,2.0,2.0,0.0,276.0,Moonee Valley City Council,Western Metropolitan,large
Airport West,4,h,765000.0,S,8,Prof.,4.0,1.0,2.0,147.0,Moonee Valley City Council,Western Metropolitan,small
Airport West,4,h,900000.0,S,6,Harcourts,4.0,2.0,3.0,146.0,Moonee Valley City Council,Western Metropolitan,small
Airport West,3,u,820000.0,S,7,Nelson,2.0,2.0,0.0,256.0,Moonee Valley City Council,Western Metropolitan,medium
Airport West,3,u,650000.0,PI,9,Nelson,1.0,1.0,1.0,193.0,Moonee Valley City Council,Western Metropolitan,medium
Airport West,3,t,552000.0,SP,9,Nelson,2.0,1.0,1.0,383.0,Moonee Valley City Council,Western Metropolitan,large
Albert Park,2,h,1275000.0,S,10,hockingstuart,2.0,1.0,0.0,82.0,Port Phillip City Council,Southern Metropolitan,tiny
Albert Park,2,h,1455000.0,S,0,Thomson,2.0,1.0,0.0,388.0,Port Phillip City Council,Southern Metropolitan,large
Albert Park,3,h,2850000.0,PI,0,Buxton,3.0,2.0,0.0,198.0,Port Phillip City Council,Southern Metropolitan,medium
Albert Park,3,h,1850000.0,S,6,Greg,3.0,2.0,0.0,133.0,Port Phillip City Council,Southern Metropolitan,small
Albert Park,2,h,1194379.0,SP,4,Marshall,2.0,1.0,0.0,43.0,Port Phillip City Council,Southern Metropolitan,tiny
Albert Park,2,h,1436000.0,S,1,RT,2.0,1.0,0.0,81.0,Port Phillip City Council,Southern Metropolitan,tiny
Albert Park,3,h,402638.0,SN,8,Greg,2.0,2.0,1.0,145.0,Port Phillip City Council,Southern Metropolitan,small
Albert Park,2,h,1110000.0,S,10,Marshall,1.0,1.0,0.0,49.0,Port Phillip City Council,Southern Metropolitan,tiny
Albert Park,2,h,1550000.0,S,0,Sotheby's,2.0,1.0,1.0,549.0,Port Phillip City Council,Southern Metropolitan,extra-large
Albert Park,4,h,2300000.0,S,1,Marshall,4.0,2.0,1.0,180.0,Port Phillip City Council,Southern Metropolitan,medium
Albert Park,3,h,518988.0,S,7,Marshall,3.0,1.0,2.0,125.0,Port Phillip City Council,Southern Metropolitan,small
Albert Park,3,t,1550000.0,VB,0,Marshall,3.0,2.0,2.0,580.0,Port Phillip City Council,Southern Metropolitan,extra-large
Albert Park,3,h,1800000.0,VB,0,Greg,3.0,2.0,1.0,159.0,Port Phillip City Council,Southern Metropolitan,small
Albert Park,3,h,2485000.0,S,3,Cayzer,1.0,2.0,0.0,504.0,Port Phillip City Council,Southern Metropolitan,extra-large
Albert Park,2,h,2120000.0,S,0,Greg,2.0,1.0,1.0,107.0,Port Phillip City Council,Southern Metropolitan,small
Albert Park,3,h,1800000.0,VB,0,Cayzer,3.0,1.0,1.0,588.0,Port Phillip City Council,Southern Metropolitan,extra-large
Albert Park,3,h,1800000.0,S,10,Marshall,3.0,2.0,1.0,122.0,Port Phillip City Council,Southern Metropolitan,small
Albert Park,3,h,718571.0,SN,10,Marshall,3.0,1.0,0.0,88.0,Port Phillip City Council,Southern Metropolitan,tiny
Albert Park,2,h,1810000.0,PI,7,Greg,2.0,1.0,0.0,29.0,Port Phillip City Council,Southern Metropolitan,tiny
Albert Park,3,h,2615000.0,S,8,Cayzer,3.0,2.0,1.0,181.0,Port Phillip City Council,Southern Metropolitan,medium
Albert Park,5,h,2100000.0,S,5,Greg,5.0,2.0,1.0,78.0,Port Phillip City Council,Southern Metropolitan,tiny
Albert Park,3,h,1300000.0,S,7,hockingstuart,3.0,1.0,0.0,266.0,Port Phillip City Council,Southern Metropolitan,large
Albert Park,3,h,1370000.0,S,6,Greg,3.0,2.0,2.0,85.0,Port Phillip City Council,Southern Metropolitan,tiny
Albert Park,2,h,1000000.0,S,10,Cayzer,2.0,1.0,0.0,236.0,Port Phillip City Council,Southern Metropolitan,medium
Albert Park,2,h,1025972.0,SP,3,Marshall,2.0,1.0,2.0,117.0,Port Phillip City Council,Southern Metropolitan,small
Albert Park,3,h,2575000.0,S,0,Greg,3.0,2.0,1.0,254.0,Port Phillip City Council,Southern Metropolitan,medium
Albert Park,2,h,1322500.0,S,0,Greg,2.0,1.0,0.0,98.0,Port Phillip City Council,Southern Metropolitan,tiny
Albert Park,2,h,264104.0,S,9,hockingstuart,2.0,1.0,1.0,172.0,Port Phillip City Council,Southern Metropolitan,medium
Albert Park,2,h,1562500.0,S,8,Greg,2.0,1.0,0.0,83.0,Port Phillip City Council,Southern Metropolitan,tiny
Albert Park,3,h,2000000.0,VB,2,RT,3.0,2.0,1.0,147.0,Port Phillip City Council,Southern Metropolitan,small
Albert Park,4,h,1062236.0,S,2,Marshall,3.0,1.0,0.0,141.0,Port Phillip City Council,Southern Metropolitan,small
Albert Park,3,h,1065934.0,S,6,Marshall,3.0,1.0,2.0,441.0,Port Phillip City Council,Southern Metropolitan,extra-large
Albert Park,3,h,1900000.0,S,6,Greg,3.0,1.0,0.0,221.0,Port Phillip City Council,Southern Metropolitan,medium
Albert Park,3,h,3010000.0,S,9,Greg,3.0,2.0,0.0,146.0,Port Phillip City Council,Southern Metropolitan,small
Albert Park,3,h,645709.0,SP,5,Marshall,3.0,1.0,0.0,189.0,Port Phillip City Council,Southern Metropolitan,medium
Albert Park,4,h,2800000.0,VB,4,Cayzer,4.0,3.0,1.0,254.0,Port Phillip City Council,Southern Metropolitan,medium
Albert Park,3,h,786833.0,SN,5,Cayzer,3.0,1.0,0.0,67.0,Port Phillip City Council,Southern Metropolitan,tiny
Albert Park,2,u,647000.0,S,8,Greg,2.0,1.0,1.0,144.0,Port Phillip City Council,Southern Metropolitan,small
Albert Park,3,h,831087.0,SP,7,Marshall,3.0,2.0,1.0,427.0,Port Phillip City Council,Southern Metropolitan,extra-large
Albert Park,3,h,2100000.0,SP,6,Marshall,2.0,1.0,1.0,123.0,Port Phillip City Council,Southern Metropolitan,small
Albert Park,3,h,975820.0,S,9,Greg,3.0,2.0,1.0,119.0,Port Phillip City Council,Southern Metropolitan,small
Albert Park,2,h,205440.0,PI,4,Marshall,2.0,2.0,1.0,36.0,Port Phillip City Council,Southern Metropolitan,tiny
Albert Park,7,h,567293.0,SN,3,hockingstuart,7.0,7.0,0.0,214.0,Port Phillip City Council,Southern Metropolitan,medium
Albert Park,3,h,2000000.0,PI,0,Marshall,3.0,1.0,1.0,131.0,Port Phillip City Council,Southern Metropolitan,small
Albert Park,1,u,442500.0,S,0,Marshall,1.0,1.0,0.0,34.0,Port Phillip City Council,Southern Metropolitan,tiny
Albert Park,4,h,4735000.0,S,9,Marshall,4.0,2.0,1.0,207.0,Port Phillip City Council,Southern Metropolitan,medium
Albert Park,2,h,1340000.0,S,6,Greg,2.0,1.0,0.0,155.0,Port Phillip City Council,Southern Metropolitan,small
Albert Park,3,h,1801000.0,S,3,hockingstuart,3.0,1.0,1.0,525.0,Port Phillip City Council,Southern Metropolitan,extra-large
Albert Park,3,h,1532000.0,S,1,Chisholm,3.0,3.0,1.0,315.0,Port Phillip City Council,Southern Metropolitan,large
Albert Park,3,h,3755000.0,S,8,Greg,3.0,2.0,2.0,473.0,Port Phillip City Council,Southern Metropolitan,extra-large
Albert Park,4,h,2140000.0,S,8,Greg,3.0,2.0,1.0,145.0,Port Phillip City Council,Southern Metropolitan,small
Albert Park,2,u,1810000.0,PI,10,Marshall,2.0,2.0,0.0,443.0,Port Phillip City Council,Southern Metropolitan,extra-large
Albert Park,2,h,1750000.0,S,9,Marshall,2.0,1.0,1.0,204.0,Port Phillip City Council,Southern Metropolitan,medium
Albert Park,2,h,980000.0,S,5,Greg,2.0,1.0,0.0,68.0,Port Phillip City Council,Southern Metropolitan,tiny
Albert Park,2,h,873715.0,SP,4,Marshall,2.0,1.0,0.0,65.0,Port Phillip City Council,Southern Metropolitan,tiny
Albert Park,4,h,1026899.0,SP,9,Marshall,4.0,2.0,0.0,185.0,Port Phillip City Council,Southern Metropolitan,medium
Albert Park,3,h,929039.0,SN,10,Greg,3.0,2.0,1.0,59.0,Port Phillip City Council,Southern Metropolitan,tiny
Albert Park,3,h,2030000.0,S,0,hockingstuart,3.0,2.0,0.0,525.0,Port Phillip City Council,Southern Metropolitan,extra-large
Albert Park,3,h,1740000.0,PI,6,Marshall,3.0,2.0,2.0,134.0,Port Phillip City Council,Southern Metropolitan,small
Albert Park,3,h,2800000.0,VB,10,Buxton,3.0,3.0,1.0,538.0,Port Phillip City Council,Southern Metropolitan,extra-large
Albert Park,1,h,985000.0,S,2,Marshall,1.0,1.0,0.0,54.0,Port Phillip City Council,Southern Metropolitan,tiny
Alphington,3,h,857479.0,SN,1,McGrath,3.0,2.0,1.0,122.0,Darebin City Council,Northern Metropolitan,small
Alphington,4,h,2000000.0,S,6,Brace,3.0,2.0,4.0,263.0,Darebin City Council,Northern Metropolitan,large
Alphington,3,h,1110000.0,S,9,Jellis,3.0,2.0,2.0,81.0,Darebin City Council,Northern Metropolitan,tiny
Alphington,3,h,1492000.0,S,10,Jellis,3.0,2.0,2.0,154.0,Darebin City Council,Northern Metropolitan,small
Alphington,2,u,480000.0,PI,9,Miles,1.0,1.0,1.0,425.0,Darebin City Council,Northern Metropolitan,extra-large
Alphington,3,h,221626.0,S,4,Jellis,3.0,1.0,3.0,158.0,Darebin City Council,Northern Metropolitan,small
Alphington,3,t,1304000.0,SP,2,Holland,2.0,1.0,0.0,78.0,Darebin City Council,Northern Metropolitan,tiny
Alphington,4,h,1717500.0,S,7,Collins,4.0,2.0,1.0,203.0,Darebin City Council,Northern Metropolitan,medium
Alphington,5,h,2840000.0,S,7,Nelson,5.0,4.0,4.0,165.0,Darebin City Council,Northern Metropolitan,medium
Alphington,5,h,983527.0,S,6,Collins,5.0,3.0,4.0,330.0,Darebin City Council,Northern Metropolitan,large
Alphington,2,u,525500.0,S,0,Miles,2.0,1.0,1.0,60.0,Darebin City Council,Northern Metropolitan,tiny
Alphington,2,t,805000.0,S,0,Miles,2.0,2.0,3.0,140.0,Darebin City Council,Northern Metropolitan,small
Alphington,2,u,465000.0,S,5,McGrath,2.0,1.0,1.0,155.0,Darebin City Council,Northern Metropolitan,small
Alphington,4,t,1001009.0,PN,1,Nelson,2.0,1.0,1.0,246.0,Darebin City Council,Northern Metropolitan,medium
Alphington,3,h,1480000.0,S,3,Nelson,2.0,1.0,0.0,262.0,Darebin City Council,Northern Metropolitan,large
Alphington,3,h,2000000.0,PI,2,hockingstuart,3.0,3.0,2.0,233.0,Darebin City Council,Northern Metropolitan,medium
Alphington,3,h,1540000.0,S,5,Nelson,3.0,1.0,2.0,374.0,Darebin City Council,Northern Metropolitan,large
Alphington,4,h,690650.0,S,10,Jellis,2.0,2.0,0.0,187.0,Darebin City Council,Northern Metropolitan,medium
Alphington,2,u,590000.0,PI,4,Nelson,1.0,2.0,1.0,486.0,Darebin City Council,Northern Metropolitan,extra-large
Alphington,2,u,820000.0,S,5,Nelson,2.0,1.0,1.0,382.0,Darebin City Council,Northern Metropolitan,large
Alphington,4,h,1830000.0,S,4,Nelson,4.0,2.0,2.0,112.0,Darebin City Council,Northern Metropolitan,small
Alphington,4,h,2100000.0,S,8,Nelson,4.0,2.0,2.0,271.0,Darebin City Council,Northern Metropolitan,large
Alphington,3,h,865000.0,SP,8,hockingstuart,3.0,1.0,1.0,131.0,Darebin City Council,Northern Metropolitan,small
Alphington,2,u,390000.0,VB,6,Nelson,2.0,1.0,1.0,60.0,Darebin City Council,Northern Metropolitan,tiny
Alphington,2,t,650000.0,SP,0,Brace,0.0,1.0,0.0,28.0,Darebin City Council,Northern Metropolitan,tiny
Alphington,2,u,512000.0,S,7,Love,2.0,1.0,1.0,61.0,Darebin City Council,Northern Metropolitan,tiny
Alphington,3,h,1361000.0,S,2,Collins,1.0,2.0,0.0,122.0,Darebin City Council,Northern Metropolitan,small
